listing_id,year,review_count
6057391,2016,1
7964100,2016,1
6776698,2019,76
27703594,2019,4
17116829,2019,3
5906496,2016,1
5187074,2017,8
13222694,2017,41
1945376,2020,1
7155994,2019,10
41433160,2020,5
35835936,2019,23
3800450,2015,8
28845120,2020,3
30291704,2021,1
10164561,2019,14
11718353,2016,5
18877341,2018,9
1250253,2017,1
23118333,2019,19
2438457,2016,8
17451815,2020,21
22367814,2018,6
11996600,2016,1
22884753,2019,17
16525423,2020,1
12467379,2019,10
17856922,2019,6
4756872,2016,50
15364819,2019,12
13655834,2016,4
11136063,2017,5
25180899,2018,1
34671704,2019,4
40190132,2019,4
17071616,2018,12
43711944,2020,5
30766004,2019,16
46391906,2020,1
8793166,2019,32
25075038,2019,1
29931276,2019,69
8217795,2017,5
6670064,2020,3
58273,2016,58
6202366,2019,12
38820519,2019,2
2481912,2016,7
6630855,2018,17
3608686,2018,3
35636293,2020,13
29594443,2019,3
2577347,2016,1
22171931,2018,1
23083427,2019,16
890426,2015,2
29225567,2019,11
18437378,2017,8
23320775,2021,1
77318,2014,2
1269785,2019,6
44316420,2021,4
16874259,2018,1
41018526,2021,1
25459057,2018,2
7527620,2019,5
18183931,2017,2
15698675,2017,55
15667739,2016,3
13023771,2019,4
10072453,2019,11
13201228,2020,3
34031064,2019,3
2620837,2017,1
16532932,2018,105
6228461,2015,10
16469565,2018,2
29677826,2021,2
8619691,2016,44
30100768,2021,2
1644722,2016,14
16845088,2017,19
18999405,2019,26
28572974,2018,18
4915245,2019,40
3317494,2015,2
20701793,2017,13
43486811,2020,1
39684031,2019,9
12621697,2017,4
42797191,2021,1
19194243,2019,10
39620502,2020,29
13246663,2017,8
15714335,2020,11
24399752,2019,5
21916170,2018,8
9899688,2019,14
18275826,2020,1
37061182,2021,1
40245955,2020,1
12806356,2017,4
12241664,2019,34
1083510,2013,1
14252019,2016,21
4546034,2015,11
35224783,2019,4
303749,2014,21
44032568,2021,1
1221610,2019,39
16961126,2017,5
26119338,2020,2
17478498,2019,36
42868806,2020,8
1980780,2014,5
14095096,2018,3
678975,2013,11
711563,2016,27
40419502,2020,2
3492606,2016,3
253806,2019,3
25385925,2019,15
18514024,2017,18
12065391,2016,1
13902725,2016,7
36121783,2020,4
31982116,2020,1
15431349,2016,3
1121561,2014,13
21812877,2017,6
39041603,2019,15
29056566,2020,9
1663154,2016,10
21081485,2020,8
17605729,2017,3
5927729,2019,13
39198053,2019,5
39726429,2020,1
6904589,2018,12
6236624,2019,7
10573225,2019,49
7078430,2015,3
42383868,2020,1
20978581,2018,3
9379177,2016,1
395813,2018,1
2274243,2014,21
6579953,2015,3
338403,2013,2
20915208,2020,1
6963169,2017,1
19845373,2018,39
